Month,Year,Crime_Category,Subcategory,Cases,Duplicate_Count,Source_Files
November,2023,MMDR & KMMCR,MMDR Act,8,3,crime_28_page_17_table_01.csv | crime_29_page_17_table_01.csv | crime_41_page_17_table_01.csv
November,2023,NDPS Cases,NDPS Cases,311,3,crime_28_page_19_table_01.csv | crime_29_page_19_table_01.csv | crime_41_page_19_table_01.csv
January,2024,Motor Vehicles Theft,Motor Vehicles Theft Cases,1018,3,crime_18_page_18_table_01.csv | crime_19_page_18_table_01.csv | crime_6_page_18_table_01.csv
November,2024,Dacoity,Dacoity Cases,9,3,crime_28_page_04_table_01.csv | crime_29_page_04_table_01.csv | crime_30_page_04_table_01.csv
January,2024,Murder,Murder for gain,3,3,crime_18_page_03_table_01.csv | crime_19_page_03_table_01.csv | crime_6_page_03_table_01.csv
August,2025,Burglary,Burglary Day,91,3,crime_13_page_06_table_01.csv | crime_14_page_06_table_01.csv | crime_14_page_60_table_01.csv
November,2024,Motor Vehicles Theft,Motor Vehicles Theft Cases,777,3,crime_16_page_18_table_01.csv | crime_28_page_18_table_01.csv | crime_29_page_18_table_01.csv
November,2024,Murder,Murder for gain,4,3,crime_28_page_03_table_01.csv | crime_29_page_03_table_01.csv | crime_30_page_03_table_01.csv
January,2023,MMDR & KMMCR,KMMC Rules,4,3,crime_18_page_17_table_01.csv | crime_31_page_17_table_01.csv | crime_32_page_17_table_01.csv
November,2024,Riots,Riots,219,3,crime_28_page_08_table_01.csv | crime_29_page_08_table_01.csv | crime_30_page_08_table_01.csv
November,2024,Robbery,Chain Snatching,40,3,crime_28_page_05_table_01.csv | crime_29_page_05_table_01.csv | crime_30_page_05_table_01.csv
November,2024.0,Security Cases,Security Cases,1057,3,crime_28_page_14_table_01.csv | crime_29_page_14_table_01.csv | crime_30_page_14_table_01.csv
November,2024.0,Security Cases,Total,1875,3,crime_28_page_14_table_01.csv | crime_29_page_14_table_01.csv | crime_30_page_14_table_01.csv
October,2023,MMDR & KMMCR,KMMC Rules,3,3,crime_27_page_17_table_01.csv | crime_40_page_17_table_01.csv | crime_41_page_17_table_01.csv
October,2023,MMDR & KMMCR,MMDR Act,17,3,crime_27_page_17_table_01.csv | crime_40_page_17_table_01.csv | crime_41_page_17_table_01.csv
October,2023,Murder,Murder for gain,0,3,crime_27_page_03_table_01.csv | crime_40_page_03_table_01.csv | crime_41_page_03_table_01.csv
October,2024,Burglary,Burglary Day,100,3,crime_15_page_06_table_01.csv | crime_28_page_06_table_01.csv | crime_29_page_06_table_01.csv
October,2024,Burglary,Burglary Night,388,3,crime_15_page_06_table_01.csv | crime_28_page_06_table_01.csv | crime_29_page_06_table_01.csv
October,2024,Burglary,Total,488,3,crime_15_page_06_table_01.csv | crime_28_page_06_table_01.csv | crime_29_page_06_table_01.csv
February,2023,NDPS Cases,NDPS Cases,344,3,crime_19_page_19_table_01.csv | crime_32_page_19_table_01.csv | crime_33_page_19_table_01.csv
October,2024,Dacoity,Dacoity Cases,9,3,crime_27_page_04_table_01.csv | crime_28_page_04_table_01.csv | crime_29_page_04_table_01.csv
October,2024,Hurt,Cases of Hurt,1276,3,crime_27_page_09_table_01.csv | crime_28_page_09_table_01.csv | crime_29_page_09_table_01.csv
August,2025,Crime against Women,Dowry Death,10,3,crime_13_page_11_table_01.csv | crime_14_page_11_table_01.csv | crime_14_page_65_table_01.csv
October,2024,MMDR & KMMCR,MMDR Act,9,3,crime_15_page_17_table_01.csv | crime_28_page_17_table_01.csv | crime_29_page_17_table_01.csv
October,2024,Motor Vehicles Theft,Motor Vehicles Theft Cases,839,3,crime_27_page_18_table_01.csv | crime_28_page_18_table_01.csv | crime_29_page_18_table_01.csv
October,2024,Murder,Murder for gain,3,3,crime_27_page_03_table_01.csv | crime_28_page_03_table_01.csv | crime_29_page_03_table_01.csv
February,2023,Robbery,Chain Snatching,49,3,crime_19_page_05_table_01.csv | crime_32_page_05_table_01.csv | crime_33_page_05_table_01.csv
October,2024.0,Security Cases,Security Cases,1310,3,crime_27_page_14_table_01.csv | crime_28_page_14_table_01.csv | crime_29_page_14_table_01.csv
October,2024.0,Security Cases,Total,2447,3,crime_27_page_14_table_01.csv | crime_28_page_14_table_01.csv | crime_29_page_14_table_01.csv
September,2023,MMDR & KMMCR,KMMC Rules,2,3,crime_26_page_17_table_01.csv | crime_39_page_17_table_01.csv | crime_40_page_17_table_01.csv
September,2023,Murder,Murder for gain,0,3,crime_26_page_03_table_01.csv | crime_39_page_03_table_01.csv | crime_40_page_03_table_01.csv
September,2023,Theft,Reported,2248,3,crime_26_page_07_table_01.csv | crime_39_page_07_table_01.csv | crime_40_page_07_table_01.csv
